file,year,institute,status,rows,notes
NDB_Report_ID_302_exp_03062026(1).xlsx,2024,ALL NIH,ok,66,
NDB_Report_ID_302_exp_03062026(10).xlsx,2015,ALL NIH,ok,76,
NDB_Report_ID_302_exp_03062026(100).xlsx,2018,NIAMS,warning,56,Suppressed 'D' in R56 Awards: 56 rows → NaN
NDB_Report_ID_302_exp_03062026(101).xlsx,2019,NIAMS,ok,57,
NDB_Report_ID_302_exp_03062026(102).xlsx,2020,NIAMS,ok,58,
NDB_Report_ID_302_exp_03062026(103).xlsx,2021,NIAMS,warning,55,Suppressed 'D' in R56 Awards: 55 rows → NaN
NDB_Report_ID_302_exp_03062026(104).xlsx,2022,NIAMS,ok,59,
NDB_Report_ID_302_exp_03062026(105).xlsx,2023,NIAMS,warning,57,Suppressed 'D' in R56 Awards: 57 rows → NaN
NDB_Report_ID_302_exp_03062026(106).xlsx,2024,NIAMS,warning,57,Suppressed 'D' in R56 Awards: 57 rows → NaN
NDB_Report_ID_302_exp_03062026(107).xlsx,2025,NIAMS,warning,57,Suppressed 'D' in R56 Awards: 57 rows → NaN
NDB_Report_ID_302_exp_03062026(108).xlsx,2025,NICHD,ok,58,
NDB_Report_ID_302_exp_03062026(109).xlsx,2024,NICHD,warning,57,Suppressed 'D' in R56 Awards: 57 rows → NaN
NDB_Report_ID_302_exp_03062026(11).xlsx,2014,ALL NIH,ok,85,Dropped 1 row(s) with Percentile=0
NDB_Report_ID_302_exp_03062026(110).xlsx,2023,NICHD,warning,59,Suppressed 'D' in R56 Awards: 59 rows → NaN
NDB_Report_ID_302_exp_03062026(111).xlsx,2022,NICHD,warning,58,Suppressed 'D' in R56 Awards: 58 rows → NaN
NDB_Report_ID_302_exp_03062026(112).xlsx,2021,NICHD,warning,57,Suppressed 'D' in R56 Awards: 57 rows → NaN
NDB_Report_ID_302_exp_03062026(113).xlsx,2020,NICHD,warning,58,Suppressed 'D' in R56 Awards: 58 rows → NaN
NDB_Report_ID_302_exp_03062026(114).xlsx,2019,NICHD,warning,56,Suppressed 'D' in R56 Awards: 56 rows → NaN
NDB_Report_ID_302_exp_03062026(115).xlsx,2018,NICHD,ok,58,
NDB_Report_ID_302_exp_03062026(116).xlsx,2017,NICHD,ok,59,
NDB_Report_ID_302_exp_03062026(117).xlsx,2016,NICHD,warning,62,Suppressed 'D' in R56 Awards: 62 rows → NaN
NDB_Report_ID_302_exp_03062026(118).xlsx,2015,NICHD,warning,58,Suppressed 'D' in R56 Awards: 58 rows → NaN
NDB_Report_ID_302_exp_03062026(119).xlsx,2014,NICHD,warning,63,Suppressed 'D' in R56 Awards: 63 rows → NaN
NDB_Report_ID_302_exp_03062026(12).xlsx,2025,NCI,ok,59,
NDB_Report_ID_302_exp_03062026(120).xlsx,2014,NIDA,warning,56,Suppressed 'D' in R56 Awards: 56 rows → NaN
NDB_Report_ID_302_exp_03062026(121).xlsx,2015,NIDA,warning,58,Suppressed 'D' in R56 Awards: 58 rows → NaN
NDB_Report_ID_302_exp_03062026(122).xlsx,2016,NIDA,warning,60,Suppressed 'D' in R56 Awards: 60 rows → NaN
NDB_Report_ID_302_exp_03062026(123).xlsx,2017,NIDA,warning,57,Suppressed 'D' in R56 Awards: 57 rows → NaN
NDB_Report_ID_302_exp_03062026(124).xlsx,2018,NIDA,warning,56,Suppressed 'D' in R56 Awards: 56 rows → NaN
NDB_Report_ID_302_exp_03062026(125).xlsx,2019,NIDA,warning,56,Suppressed 'D' in R56 Awards: 56 rows → NaN
NDB_Report_ID_302_exp_03062026(126).xlsx,2020,NIDA,ok,56,
NDB_Report_ID_302_exp_03062026(127).xlsx,2021,NIDA,warning,56,Suppressed 'D' in R56 Awards: 56 rows → NaN
NDB_Report_ID_302_exp_03062026(128).xlsx,2022,NIDA,warning,55,Suppressed 'D' in R56 Awards: 55 rows → NaN
NDB_Report_ID_302_exp_03062026(129).xlsx,2023,NIDA,ok,57,
NDB_Report_ID_302_exp_03062026(13).xlsx,2024,NCI,warning,61,Suppressed 'D' in R56 Awards: 61 rows → NaN
NDB_Report_ID_302_exp_03062026(130).xlsx,2024,NIDA,ok,58,
NDB_Report_ID_302_exp_03062026(131).xlsx,2025,NIDA,ok,56,
NDB_Report_ID_302_exp_03062026(132).xlsx,2025,NIDCD,warning,54,Suppressed 'D' in R56 Awards: 54 rows → NaN
NDB_Report_ID_302_exp_03062026(133).xlsx,2024,NIDCD,warning,57,Suppressed 'D' in R56 Awards: 57 rows → NaN
NDB_Report_ID_302_exp_03062026(134).xlsx,2023,NIDCD,ok,52,
NDB_Report_ID_302_exp_03062026(135).xlsx,2022,NIDCD,warning,54,Suppressed 'D' in R56 Awards: 54 rows → NaN
NDB_Report_ID_302_exp_03062026(136).xlsx,2021,NIDCD,warning,54,Suppressed 'D' in R56 Awards: 54 rows → NaN
