Year,Institute,EEP80,EEP50,EEP20,Opportunity_Width,Beta0,Beta1,Pseudo_R2,GLM_Converged,N_Obs_Fit,Model_Note
2014,ALL NIH,13.26,18.8,24.33,11.07,4.7068,-0.2504,0.9694,True,50,
2014,NCI,11.56,14.9,18.24,6.68,6.1897,-0.4154,0.9419,True,50,
2014,NEI,19.88,26.8,33.71,13.83,5.3716,-0.2005,0.7696,True,50,
2014,NHGRI,17.64,24.22,30.79,13.15,5.1078,-0.2109,0.6073,True,35,
2014,NHLBI,10.92,16.35,21.79,10.87,4.1718,-0.2551,0.8584,True,50,
2014,NIA,12.17,15.72,19.27,7.1,6.14,-0.3907,0.8884,True,50,
2014,NIAAA,14.9,20.63,26.37,11.47,4.9899,-0.2418,0.7421,True,50,
2014,NIAID,16.41,23.29,30.17,13.76,4.6946,-0.2015,0.848,True,50,
2014,NIAMS,15.43,16.95,18.47,3.04,15.4382,-0.9109,0.9448,True,50,
2014,NICHD,8.95,11.86,14.78,5.83,5.6411,-0.4755,0.9138,True,50,
2014,NIDA,11.59,17.63,23.67,12.08,4.0463,-0.2295,0.7784,True,50,
2014,NIDCD,18.23,22.83,27.44,9.21,6.8696,-0.3008,0.793,True,50,
2014,NIDCR,17.59,21.49,25.4,7.81,7.633,-0.3551,0.8283,True,49,
2014,NIDDK,15.58,20.06,24.53,8.95,6.209,-0.3096,0.8694,True,50,
2014,NIGMS,17.81,22.92,28.04,10.23,6.2087,-0.2708,0.9171,True,50,
2014,NIMH,11.87,16.98,22.08,10.21,4.6137,-0.2718,0.8456,True,50,
2014,NINDS,15.32,19.18,23.03,7.71,6.8952,-0.3596,0.9146,True,50,
2014,NINR,,,,,,,,False,42,Too few transition-zone points: 1 (need 3)
2014,NLM,,,,,,,,False,27,Too few transition-zone points: 2 (need 3)
2015,ALL NIH,12.68,18.69,24.69,12.01,4.3121,-0.2308,0.9659,True,50,
2015,NCI,11.2,14.27,17.34,6.14,6.4362,-0.4511,0.9464,True,50,
2015,NEI,15.16,21.76,28.36,13.2,4.5701,-0.21,0.7514,True,50,
2015,NHGRI,,,,,,,,False,36,Too few transition-zone points: 1 (need 3)
2015,NHLBI,13.06,19.38,25.7,12.64,4.2487,-0.2192,0.8702,True,50,
2015,NIA,11.75,18.35,24.96,13.21,3.853,-0.2099,0.7674,True,50,
2015,NIAAA,11.64,17.72,23.81,12.17,4.0391,-0.2279,0.7025,True,50,
2015,NIAID,13.78,20.22,26.66,12.88,4.3551,-0.2154,0.8153,True,50,
2015,NIAMS,12.45,15.65,18.85,6.4,6.7757,-0.433,0.876,True,50,
2015,NICHD,8.57,11.16,13.75,5.18,5.9691,-0.535,0.9162,True,50,
2015,NIDA,11.47,17.17,22.87,11.4,4.176,-0.2432,0.8053,True,50,
2015,NIDCD,16.02,21.18,26.34,10.32,5.6892,-0.2686,0.7766,True,49,
2015,NIDCR,17.59,20.27,22.96,5.37,10.4699,-0.5165,0.8774,True,47,
2015,NIDDK,12.65,17.91,23.17,10.52,4.7197,-0.2636,0.8557,True,50,
2015,NIGMS,19.41,26.05,32.69,13.28,5.4384,-0.2087,0.871,True,50,
2015,NIMH,13.99,19.09,24.19,10.2,5.1896,-0.2718,0.8542,True,50,
2015,NINDS,16.04,19.69,23.34,7.3,7.4721,-0.3795,0.9183,True,50,
2015,NINR,12.12,15.96,19.8,7.68,5.7601,-0.3609,0.7262,True,43,
2015,NLM,16.57,21.92,27.28,10.71,5.6733,-0.2588,0.7075,True,22,
