Year,Institute,Percentile,R56_Awards,R01_Equivalent_Awards,Not_Awarded,Funded_Total,Applications_Total,Funding_Rate,R56_Suppressed,Percentile_Band
2014,ALL NIH,1,0.0,281,4,281.0,285.0,0.9859649122807017,False,1-5
2014,ALL NIH,2,0.0,272,7,272.0,279.0,0.974910394265233,False,1-5
2014,ALL NIH,3,0.0,272,6,272.0,278.0,0.9784172661870504,False,1-5
2014,ALL NIH,4,0.0,262,4,262.0,266.0,0.9849624060150376,False,1-5
2014,ALL NIH,5,0.0,293,8,293.0,301.0,0.973421926910299,False,1-5
2014,ALL NIH,6,0.0,330,13,330.0,343.0,0.9620991253644315,False,6-10
2014,ALL NIH,7,0.0,255,4,255.0,259.0,0.9845559845559846,False,6-10
2014,ALL NIH,8,0.0,311,4,311.0,315.0,0.9873015873015873,False,6-10
2014,ALL NIH,9,0.0,295,7,295.0,302.0,0.9768211920529801,False,6-10
2014,ALL NIH,10,2.0,259,24,261.0,285.0,0.9157894736842105,False,6-10
2014,ALL NIH,11,3.0,257,22,260.0,282.0,0.9219858156028369,False,11-15
2014,ALL NIH,12,5.0,196,31,201.0,232.0,0.8663793103448276,False,11-15
2014,ALL NIH,13,16.0,176,51,192.0,243.0,0.7901234567901234,False,11-15
2014,ALL NIH,14,10.0,179,61,189.0,250.0,0.756,False,11-15
2014,ALL NIH,15,15.0,152,81,167.0,248.0,0.6733870967741935,False,11-15
2014,ALL NIH,16,18.0,152,93,170.0,263.0,0.6463878326996197,False,16-20
2014,ALL NIH,17,18.0,104,83,122.0,205.0,0.5951219512195122,False,16-20
2014,ALL NIH,18,33.0,106,180,139.0,319.0,0.43573667711598746,False,16-20
2014,ALL NIH,19,20.0,62,113,82.0,195.0,0.4205128205128205,False,16-20
2014,ALL NIH,20,21.0,70,119,91.0,210.0,0.43333333333333335,False,16-20
2014,ALL NIH,21,26.0,66,164,92.0,256.0,0.359375,False,21-25
2014,ALL NIH,22,11.0,58,168,69.0,237.0,0.2911392405063291,False,21-25
2014,ALL NIH,23,19.0,47,191,66.0,257.0,0.25680933852140075,False,21-25
2014,ALL NIH,24,21.0,25,192,46.0,238.0,0.19327731092436976,False,21-25
2014,ALL NIH,25,16.0,26,183,42.0,225.0,0.18666666666666668,False,21-25
2014,ALL NIH,26,8.0,19,201,27.0,228.0,0.11842105263157894,False,26+
2014,ALL NIH,27,7.0,12,232,19.0,251.0,0.07569721115537849,False,26+
2014,ALL NIH,28,6.0,18,205,24.0,229.0,0.10480349344978165,False,26+
2014,ALL NIH,29,12.0,12,211,24.0,235.0,0.10212765957446808,False,26+
2014,ALL NIH,30,8.0,9,227,17.0,244.0,0.06967213114754098,False,26+
2014,ALL NIH,31,5.0,3,183,8.0,191.0,0.041884816753926704,False,26+
2014,ALL NIH,32,4.0,10,277,14.0,291.0,0.048109965635738834,False,26+
2014,ALL NIH,33,4.0,5,217,9.0,226.0,0.03982300884955752,False,26+
2014,ALL NIH,34,0.0,3,209,3.0,212.0,0.014150943396226415,False,26+
2014,ALL NIH,35,7.0,3,238,10.0,248.0,0.04032258064516129,False,26+
2014,ALL NIH,36,2.0,2,234,4.0,238.0,0.01680672268907563,False,26+
2014,ALL NIH,37,1.0,4,220,5.0,225.0,0.022222222222222223,False,26+
2014,ALL NIH,38,0.0,0,218,0.0,218.0,0.0,False,26+
